State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Kaduna,Kaduna South,Soba,july,2020,4,-1,1,0.6,5,276,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2020,1,-1,1,0.6,5,186,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2021,2,-1,1,0.6,5,581,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2021,3,-1,1,0.6,5,611,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2021,4,-1,1,0.6,5,641,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2021,1,-1,1,0.6,5,551,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2022,2,-1,1,0.6,5,946,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2022,3,-1,1,0.6,5,976,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2022,4,-1,1,0.6,5,1006,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2022,1,-1,1,0.6,5,916,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2023,2,-1,1,0.6,5,1311,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2023,3,-1,1,0.6,5,1341,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2023,4,-1,1,0.6,5,1371,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2023,1,-1,1,0.6,5,1281,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2024,2,-1,1,0.6,5,1676,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2024,3,-1,1,0.6,5,1706,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2024,4,-1,1,0.6,5,1736,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2024,1,-1,1,0.6,5,1646,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2025,2,-1,1,0.6,5,2041,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2025,3,-1,1,0.6,5,2071,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2025,4,-1,1,0.6,5,2101,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2025,1,-1,1,0.6,5,2011,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2026,2,-1,1,0.6,5,2406,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2026,3,-1,1,0.6,5,2436,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2026,4,-1,1,0.6,5,2466,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2026,1,-1,1,0.6,5,2376,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2027,2,-1,1,0.6,5,2771,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2027,3,-1,1,0.6,5,2801,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2027,4,-1,1,0.6,5,2831,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2027,1,-1,1,0.6,5,2741,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2028,2,-1,1,0.6,5,3136,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2028,3,-1,1,0.6,5,3166,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2028,4,-1,1,0.6,5,3196,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2028,1,-1,1,0.6,5,3106,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2029,2,-1,1,0.6,5,3501,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2029,3,-1,1,0.6,5,3531,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2029,4,-1,1,0.6,5,3561,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2029,1,-1,1,0.6,5,3471,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2030,2,-1,1,0.6,5,3866,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2030,3,-1,1,0.6,5,3896,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2030,4,-1,1,0.6,5,3926,scenario 2 - 5
Kaduna,Kaduna South,Soba,july,2030,1,-1,1,0.6,5,3836,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2020,2,-1,1,0.6,5,216,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2020,3,-1,1,0.6,5,246,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2020,4,-1,1,0.6,5,276,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2020,1,-1,1,0.6,5,186,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2021,2,-1,1,0.6,5,581,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2021,3,-1,1,0.6,5,611,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2021,4,-1,1,0.6,5,641,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2021,1,-1,1,0.6,5,551,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2022,2,-1,1,0.6,5,946,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2022,3,-1,1,0.6,5,976,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2022,4,-1,1,0.6,5,1006,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2022,1,-1,1,0.6,5,916,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2023,2,-1,1,0.6,5,1311,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2023,3,-1,1,0.6,5,1341,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2023,4,-1,1,0.6,5,1371,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2023,1,-1,1,0.6,5,1281,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2024,2,-1,1,0.6,5,1676,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2024,3,-1,1,0.6,5,1706,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2024,4,-1,1,0.6,5,1736,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2024,1,-1,1,0.6,5,1646,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2025,2,-1,1,0.6,5,2041,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2025,3,-1,1,0.6,5,2071,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2025,4,-1,1,0.6,5,2101,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2025,1,-1,1,0.6,5,2011,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2026,2,-1,1,0.6,5,2406,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2026,3,-1,1,0.6,5,2436,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2026,4,-1,1,0.6,5,2466,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2026,1,-1,1,0.6,5,2376,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2027,2,-1,1,0.6,5,2771,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2027,3,-1,1,0.6,5,2801,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2027,4,-1,1,0.6,5,2831,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2027,1,-1,1,0.6,5,2741,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2028,2,-1,1,0.6,5,3136,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2028,3,-1,1,0.6,5,3166,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2028,4,-1,1,0.6,5,3196,scenario 2 - 5
